event_id,game_date,game_datetime_utc,home_team,away_team,home_team_id,away_team_id,neutral_site,home_score_actual,away_score_actual,actual_margin,actual_total,home_won,pred_spread,pred_total,pred_home_score,pred_away_score,primary_confidence,ens_spread,ens_total,ens_confidence,ens_model_agreement,ens_spread_std,market_spread,market_total,home_ml,away_ml,primary_ats_correct,primary_ou_correct,primary_margin_error,primary_wins_game,primary_edge_flagged,primary_edge_ats,ens_ats_correct,ens_ou_correct,ens_margin_error,ens_wins_game,fourfactors_spread,adjefficiency_spread,pythagorean_spread,momentum_spread,situational_spread,cagerankings_spread,regressedeff_spread,m1_spread,m2_spread,m3_spread,m4_spread,m5_spread,m6_spread,m7_spread,spread_line,fourfactors_ats,adjefficiency_ats,pythagorean_ats,momentum_ats,situational_ats,cagerankings_ats,regressedeff_ats,cage_em_diff,barthag_diff,processed_at,predicted_spread,pipeline_run_id,game_id,home_covered_ats,home_score,away_score,pred_spread_source,clv_vs_consensus,clv_vs_open,clv_vs_pinnacle,clv_vs_dk,beat_consensus,beat_pinnacle,clv_direction,home_spread_current,home_spread_open,ats_correct,cover,ou_correct,actual_spread,team_id,opponent_id,home_away,team_ats_correct,team_ou_correct
401827693,,2026-02-22 03:38:00+00:00,,,252,66,0,79.0,69.0,10.0,148.0,1.0,4.29,,,,,4.29,149.0,0.156,,4.94,,,,,,,-14.29,0.0,0,,,,-14.29,0.0,2.57,6.55,7.84,9.98,6.83,-3.23,-3.2,2.57,6.55,7.84,9.98,6.83,-3.23,-3.2,,,,,,,,,,,2026-02-28T21:42:01.756382-08:00,4.29,,401827693,,,,ens_spread,,,,,,,,,,,,,10.0,252,66,home,,
401827693,,2026-02-22 03:38:00+00:00,,,252,66,0,79.0,69.0,10.0,148.0,1.0,4.29,,,,,4.29,149.0,0.156,,4.94,,,,,,,-14.29,0.0,0,,,,-14.29,0.0,2.57,6.55,7.84,9.98,6.83,-3.23,-3.2,2.57,6.55,7.84,9.98,6.83,-3.23,-3.2,,,,,,,,,,,2026-02-28T21:42:01.756382-08:00,4.29,,401827693,,,,ens_spread,,,,,,,,,,,,,10.0,66,252,away,,
401824435,,2026-02-22 17:00:00+00:00,,,2083,107,0,63.0,72.0,-9.0,135.0,0.0,6.77,,,,,6.77,137.3,0.151,,7.45,,,,,,,2.23,1.0,0,,,,2.23,1.0,4.68,17.14,13.12,1.91,11.19,-3.15,-3.2,4.68,17.14,13.12,1.91,11.19,-3.15,-3.2,,,,,,,,,,,2026-02-28T21:42:01.756852-08:00,6.77,,401824435,,,,ens_spread,,,,,,,,,,,,,-9.0,2083,107,home,,
401824435,,2026-02-22 17:00:00+00:00,,,2083,107,0,63.0,72.0,-9.0,135.0,0.0,6.77,,,,,6.77,137.3,0.151,,7.45,,,,,,,2.23,1.0,0,,,,2.23,1.0,4.68,17.14,13.12,1.91,11.19,-3.15,-3.2,4.68,17.14,13.12,1.91,11.19,-3.15,-3.2,,,,,,,,,,,2026-02-28T21:42:01.756852-08:00,6.77,,401824435,,,,ens_spread,,,,,,,,,,,,,-9.0,107,2083,away,,
401828679,,2026-02-22 17:00:00+00:00,,,322,44,0,61.0,75.0,-14.0,136.0,0.0,5.49,,,,,5.49,146.6,0.1,,7.89,,,,,,,8.51,1.0,0,,,,8.51,1.0,-3.6,14.8,13.12,2.51,12.67,-3.26,-3.2,-3.6,14.8,13.12,2.51,12.67,-3.26,-3.2,,,,,,,,,,,2026-02-28T21:42:01.757316-08:00,5.49,,401828679,,,,ens_spread,,,,,,,,,,,,,-14.0,322,44,home,,
401828679,,2026-02-22 17:00:00+00:00,,,322,44,0,61.0,75.0,-14.0,136.0,0.0,5.49,,,,,5.49,146.6,0.1,,7.89,,,,,,,8.51,1.0,0,,,,8.51,1.0,-3.6,14.8,13.12,2.51,12.67,-3.26,-3.2,-3.6,14.8,13.12,2.51,12.67,-3.26,-3.2,,,,,,,,,,,2026-02-28T21:42:01.757316-08:00,5.49,,401828679,,,,ens_spread,,,,,,,,,,,,,-14.0,44,322,away,,
401824375,,2026-02-22 17:00:00+00:00,,,2329,104,0,70.0,67.0,3.0,137.0,1.0,20.7,,,,,20.7,144.4,0.15,,21.02,,,,,,,-23.7,0.0,0,,,,-23.7,0.0,5.58,45.68,46.46,4.83,35.22,-3.14,-3.2,5.58,45.68,46.46,4.83,35.22,-3.14,-3.2,,,,,,,,,,,2026-02-28T21:42:01.757758-08:00,20.7,,401824375,,,,ens_spread,,,,,,,,,,,,,3.0,2329,104,home,,
401824375,,2026-02-22 17:00:00+00:00,,,2329,104,0,70.0,67.0,3.0,137.0,1.0,20.7,,,,,20.7,144.4,0.15,,21.02,,,,,,,-23.7,0.0,0,,,,-23.7,0.0,5.58,45.68,46.46,4.83,35.22,-3.14,-3.2,5.58,45.68,46.46,4.83,35.22,-3.14,-3.2,,,,,,,,,,,2026-02-28T21:42:01.757758-08:00,20.7,,401824375,,,,ens_spread,,,,,,,,,,,,,3.0,104,2329,away,,
401828240,,2026-02-22 17:00:00+00:00,,,235,5,0,67.0,78.0,-11.0,145.0,0.0,9.31,,,,,9.31,137.5,0.102,,12.37,,,,,,,1.69,1.0,0,,,,1.69,1.0,-1.57,25.05,21.39,-1.73,20.86,-3.12,-3.2,-1.57,25.05,21.39,-1.73,20.86,-3.12,-3.2,,,,,,,,,,,2026-02-28T21:42:01.758183-08:00,9.31,,401828240,,,,ens_spread,,,,,,,,,,,,,-11.0,235,5,home,,
401828240,,2026-02-22 17:00:00+00:00,,,235,5,0,67.0,78.0,-11.0,145.0,0.0,9.31,,,,,9.31,137.5,0.102,,12.37,,,,,,,1.69,1.0,0,,,,1.69,1.0,-1.57,25.05,21.39,-1.73,20.86,-3.12,-3.2,-1.57,25.05,21.39,-1.73,20.86,-3.12,-3.2,,,,,,,,,,,2026-02-28T21:42:01.758183-08:00,9.31,,401828240,,,,ens_spread,,,,,,,,,,,,,-11.0,5,235,away,,
401813394,,2026-02-22 17:00:00+00:00,,,2520,315,0,67.0,62.0,5.0,129.0,1.0,-2.49,,,,,-2.49,127.2,0.15,,6.39,,,,,,,-2.51,1.0,0,,,,-2.51,1.0,-3.35,-6.5,-10.28,11.9,-2.97,-3.14,-3.2,-3.35,-6.5,-10.28,11.9,-2.97,-3.14,-3.2,,,,,,,,,,,2026-02-28T21:42:01.758635-08:00,-2.49,,401813394,,,,ens_spread,,,,,,,,,,,,,5.0,2520,315,home,,
